,y
18669,0
19186,0
17867,0
7981,0
18213,0
34663,0
22232,0
8236,0
35511,0
33975,0
35055,0
15612,0
37682,1
20848,0
38769,0
16951,0
20876,0
2319,0
24343,0
22698,0
13182,0
30793,0
39454,1
9406,0
37377,0
14017,0
19166,0
9770,0
25032,0
23794,0
6348,0
6688,0
2814,0
15387,1
32960,0
24937,0
12496,0
18583,0
40733,0
18549,0
12662,0
3936,0
30763,0
34809,0
19730,0
14517,0
10278,0
12094,0
26818,0
7252,0
5719,0
38600,0
38810,1
15240,0
4121,0
17793,0
20099,0
31137,0
19079,0
28493,0
8819,0
38440,1
12355,0
23237,0
8763,0
18661,0
19547,0
5743,0
20540,0
16252,0
20826,0
16432,0
12990,0
38537,0
31688,0
3228,0
16107,0
4051,0
39217,1
6762,1
34688,0
10983,0
10493,0
3406,0
30670,0
16545,0
21051,0
1714,0
23415,0
31131,0
25879,0
21472,0
28976,0
38811,1
30810,0
6018,1
31831,0
16619,0
39442,0
20834,0
6450,0
1939,0
39055,0
39580,1
991,0
1628,0
6109,0
23928,0
29331,0
29829,0
3700,0
21715,1
30630,0
25782,0
38793,1
20192,0
12781,0
1310,0
16235,0
35844,0
8698,0
26994,0
40433,0
15981,0
34297,0
7102,0
4204,0
12407,0
4080,0
40424,1
14303,0
1246,0
21474,0
18119,0
40068,0
22837,0
29277,0
36129,1
17341,0
34246,0
15566,1
25856,0
7527,0
13739,0
23450,0
15425,0
9725,0
506,0
3872,0
5397,0
39200,0
29125,0
9849,0
24767,0
30141,1
36625,0
22835,0
12056,0
32972,0
39143,0
39584,0
28217,0
22286,0
11532,1
23636,0
40476,1
4742,0
9116,0
16815,0
13379,0
31248,0
25271,0
17487,0
8156,0
30732,1
3494,0
22885,0
24659,0
40114,1
9514,0
108,0
32494,0
29745,0
23835,0
15117,0
15672,0
37644,0
31619,0
6344,0
38970,1
27971,0
4915,0
22128,0
34673,0
28641,1
7733,0
4660,0
19757,0
37023,0
10189,0
28609,0
36595,1
31095,0
32951,0
17198,0
29635,0
37194,0
37204,1
40892,1
14707,0
5041,0
37545,0
41063,1
23208,0
23374,0
5182,0
31662,0
37176,0
39195,1
24146,0
21431,0
32348,1
17186,0
40651,1
20576,0
27657,0
13372,0
176,0
23547,0
17079,0
8980,0
16691,0
37867,0
39992,1
20187,1
30591,1
13903,0
30534,0
9085,0
15734,0
25695,0
6420,0
26473,0
37852,0
16109,0
20193,0
12317,0
13092,0
33105,0
34159,0
15641,0
38370,0
4880,1
10394,0
12840,0
41154,0
25597,0
15802,0
36405,0
30173,0
834,0
34278,0
3211,0
32616,0
17174,0
21847,1
21607,0
36013,1
16921,0
11843,0
24389,0
2313,0
23347,0
37655,0
26887,0
15205,0
27356,0
591,0
22110,0
3185,0
25593,0
78,0
40078,1
20807,0
30595,1
6209,0
395,0
1787,0
26862,0
19224,0
874,0
35915,0
39765,0
51,0
6234,0
33942,0
6694,0
12669,0
22297,0
40225,1
10622,0
10499,0
3238,0
17746,0
28369,0
20014,0
39725,1
18587,1
5884,0
33895,0
18481,0
16249,0
18277,0
12273,0
9304,0
40706,0
27745,0
16241,0
30535,1
33959,0
37818,1
17355,0
40644,1
34442,0
37485,0
30278,0
37517,0
15440,0
8890,0
39926,0
13819,0
34305,0
38206,0
8837,0
7950,0
31628,0
27334,0
4134,0
9594,0
34776,0
1614,0
4885,0
37210,0
10044,0
34393,0
22228,0
16362,0
10611,0
25254,0
38735,0
37483,0
36842,0
32256,0
18381,0
7168,0
19480,0
9488,0
38672,0
12403,0
21275,0
14330,0
9572,1
4153,0
31436,1
16611,0
5567,0
13004,0
34131,0
41093,0
25908,1
1019,0
12621,0
32386,0
9390,0
30198,1
11654,0
13435,0
21525,0
13879,0
31497,0
37541,0
11683,0
18386,1
30576,0
19993,0
25789,0
8115,0
13702,0
24409,0
29103,0
10725,0
20453,0
39113,0
40420,1
35988,0
9520,0
1109,0
4716,0
29985,1
36272,0
29449,0
26530,0
12440,0
19446,0
33944,0
29813,0
30720,0
28483,0
1307,0
28961,0
21244,0
24581,0
39339,1
11377,0
3909,0
35757,0
32700,0
32018,0
40743,0
36327,0
18569,0
36737,0
11485,0
28868,0
870,1
12517,0
22626,0
8165,0
35167,1
16073,0
14311,1
15486,0
25094,0
13320,0
28696,1
26537,0
23304,0
20692,0
38381,0
15739,0
18122,0
27061,0
35462,0
3296,0
24622,0
28846,0
28959,0
34522,0
33972,1
33034,0
40913,1
8144,0
21271,0
260,0
1989,0
4106,0
29848,0
9327,0
6462,0
3092,0
12978,0
37014,0
36944,1
7298,0
5330,0
35187,1
14578,0
8940,0
30680,0
20881,0
27890,1
2822,0
39886,0
22611,1
34269,0
27446,0
35704,0
15200,0
38633,1
20655,0
12319,0
37793,0
13036,0
40739,0
20244,0
38511,0
3490,0
16948,0
26711,0
13897,0
32409,0
2972,0
17941,0
26769,0
4858,0
2093,0
33407,0
30543,0
5835,0
16595,0
15960,0
30947,0
16055,0
10447,0
17896,0
23881,0
39778,0
20886,0
28454,0
27092,0
35927,0
3491,0
24360,0
20650,0
27020,0
7433,0
7236,0
18588,0
11684,0
14039,0
32846,0
15697,0
4701,0
31197,0
12506,1
27226,0
31889,0
7358,0
20403,0
31586,0
8,0
24031,1
27535,0
6908,0
6521,0
24395,0
10687,0
34476,0
35154,0
32537,0
4517,0
19584,0
41047,1
40354,0
35708,0
32535,0
5002,0
30729,1
4162,0
524,0
39719,1
1775,0
36208,0
38247,0
24986,0
9250,0
25713,0
11365,0
20980,0
23904,0
19044,1
19298,0
36200,0
16980,0
30254,0
1593,0
21848,0
16285,0
36839,0
38005,1
19106,0
37296,0
30012,0
18450,0
33469,0
40550,0
5962,0
4092,0
5404,0
31207,0
11483,0
32136,0
37769,1
33286,0
8131,0
19469,0
19522,0
32428,0
28917,0
1093,0
11198,0
5316,0
13552,0
33726,0
766,0
13160,0
1020,0
2523,0
25770,0
33074,0
13055,0
40865,0
5401,0
39411,1
9285,0
20030,0
25408,1
6597,0
14589,0
15125,0
13806,0
7962,0
23006,0
38108,0
12446,0
36356,0
35265,0
31088,1
16042,0
21403,0
28252,0
37394,1
40661,1
14864,1
13328,0
32503,0
24840,0
30747,0
23092,0
5979,0
32715,0
10083,0
31862,0
4525,0
20205,0
9887,0
37242,0
18202,0
13512,0
26441,1
34491,0
33740,0
34270,0
16852,0
9470,0
24209,0
3354,0
3441,0
10075,0
7313,0
17224,0
22154,0
19509,0
9372,0
3152,0
26780,0
4443,0
27064,0
2706,0
31423,0
15359,0
17881,0
32933,0
19107,0
11283,0
34583,0
34928,0
21927,0
6026,0
13384,0
5714,0
2752,0
15153,0
9478,0
5171,0
40391,1
22657,0
28793,0
9137,0
27187,0
8832,0
7292,0
4464,0
36993,0
27221,0
11692,0
25133,0
4813,0
25726,0
21224,0
11201,0
6440,0
34068,0
27298,0
29752,0
34638,0
10215,0
4395,0
6345,0
22283,0
36640,0
40151,1
26749,0
29278,0
7273,0
31488,0
1558,0
25286,0
34027,0
5465,0
30108,0
10408,0
19904,0
6471,0
23774,0
3234,0
11618,0
5150,0
21820,0
3452,0
40423,1
39969,1
3630,0
13754,0
12003,0
14537,0
21227,0
25559,0
37119,0
34075,0
30833,0
40803,1
17725,0
39832,0
26877,1
25397,0
32882,0
16620,0
609,0
6028,0
25105,0
29190,0
11472,0
32604,0
13057,0
35254,0
7182,0
32404,0
2950,0
11821,0
24748,0
12394,0
39808,1
23010,0
19163,0
24108,0
16273,1
22651,0
14440,0
1287,0
31845,0
34552,0
20932,0
40344,0
28849,0
10169,0
24515,0
34022,0
27584,0
8683,0
5829,0
26757,0
27651,0
36843,1
16840,0
3470,0
36738,1
5700,0
7014,0
38434,0
14209,0
29965,0
4045,0
37142,1
4161,0
28383,0
34911,0
27593,0
13575,0
21008,0
28816,0
16636,0
13358,0
12393,0
17231,0
19124,0
985,0
36801,0
24278,0
6563,0
1018,0
33104,0
25428,0
404,0
19737,0
27763,1
18663,0
25977,0
32251,0
23911,0
1466,0
12516,0
21617,0
31473,0
25483,0
4404,0
18335,0
15937,0
40393,0
37991,0
25059,0
24432,0
18655,0
3409,0
8231,0
34407,1
4491,0
36802,0
2931,0
12558,0
40766,1
15788,0
3514,0
40099,0
14747,0
1622,0
5682,0
4655,0
26716,0
23747,0
21182,0
35124,0
14891,0
12105,0
34971,0
18766,0
16882,0
17875,0
3805,0
28906,0
1153,0
13247,0
7095,1
40755,1
37848,0
3632,0
2521,0
9724,0
18904,0
14621,0
10019,0
20690,0
3326,0
21665,0
30020,1
25041,0
40464,0
33641,0
11019,0
20155,0
29315,0
9749,0
24316,0
5183,0
34762,0
17092,0
35111,0
18365,0
33101,0
31827,0
27032,0
39581,1
5590,0
10604,0
31770,0
30023,1
32300,1
15781,0
15693,0
38352,0
32521,0
40361,0
20338,0
29839,0
6107,0
4371,0
32836,0
31282,0
24128,0
9941,0
37718,0
18730,0
17445,0
27449,0
21574,0
18775,0
24314,0
17365,1
28890,0
1694,0
36816,1
8824,0
40369,0
26660,0
15988,0
10285,0
15667,0
10407,0
25116,0
31221,0
6253,0
14124,0
16718,0
5645,0
37273,0
9539,0
937,0
1108,0
11508,0
22938,0
25437,0
27766,1
3174,1
30442,0
11910,0
36260,0
15043,0
4750,0
31460,0
33921,0
29087,1
5563,0
11172,1
40109,1
8789,0
12921,0
36406,0
22937,0
33613,0
21938,0
18637,0
18601,0
26201,0
3121,0
23521,0
17161,0
36315,0
27524,0
32336,0
33867,0
16722,1
28078,0
27970,1
17265,0
28553,0
37707,1
38703,1
31695,0
14313,0
7991,0
23472,0
7957,0
16456,0
9332,0
21829,0
31547,0
36010,1
1613,1
12566,0
15534,0
14644,0
10890,0
21672,0
26126,0
13005,0
10749,0
13803,0
25889,1
40067,1
24299,0
30417,1
33496,0
18760,0
16195,0
556,1
5102,0
14567,0
17608,0
30804,0
38408,0
29843,0
5727,0
21172,0
36838,1
19928,0
29672,0
11775,0
35380,1
29805,0
2674,0
16184,0
19765,0
25479,0
2147,0
2080,0
9384,0
2478,0
9833,0
29574,0
31611,0
14752,0
12437,0
20645,0
35491,0
40270,0
17188,0
1616,0
34981,0
12804,0
9126,0
12266,0
16798,0
32796,0
10088,0
5631,0
35879,0
14032,0
22547,0
30815,0
847,0
10473,0
7919,0
29266,0
40093,1
13451,0
16501,0
15961,0
7287,0
32844,0
494,0
17447,0
21562,0
24538,0
19842,0
3356,0
23820,0
25985,0
7746,0
33251,0
3005,0
15312,0
22779,0
22355,1
9394,0
24193,0
8770,0
17609,0
13696,0
37102,0
15057,0
18399,0
31227,0
38346,0
11986,0
40719,0
20057,0
13119,0
20442,0
33089,0
31886,0
10516,0
19291,0
37248,0
8346,0
31470,0
38403,1
26017,0
18240,0
15808,0
40382,1
21171,0
31854,0
38152,0
4668,0
28746,0
11729,0
1801,0
3389,0
22231,0
6055,0
13387,0
35452,0
19516,0
30231,1
26363,1
38967,1
339,0
30366,1
12053,0
16162,0
9810,0
31184,0
38311,0
11157,0
10664,0
7923,0
32328,1
8419,0
9689,0
17873,0
7648,0
37177,0
25844,0
17200,0
10251,0
21136,0
16158,0
34349,0
18553,1
23910,0
20783,1
2942,0
21151,0
9616,0
26024,0
7953,0
17885,0
2750,0
28991,0
37112,1
4817,0
35463,0
17879,0
5763,0
3683,0
4281,0
8750,0
32229,0
19403,0
17082,0
15103,0
24192,0
27085,1
19342,0
39050,0
12706,0
21772,0
23954,0
20751,0
40256,0
13917,0
6643,0
39750,0
16954,0
5924,0
28508,1
8678,0
7684,0
28087,0
3521,0
30526,0
35912,1
11841,0
35423,0
13193,0
15546,0
31231,0
16837,0
20010,0
4528,0
18029,0
19912,0
16323,0
20571,0
11849,0
23828,0
29962,0
25580,0
23113,0
26365,0
37203,0
30901,0
20850,0
33592,0
6666,0
27235,0
9700,0
28829,0
31501,0
30541,0
36085,1
28342,0
14270,0
22560,0
38397,1
4483,0
38432,1
27242,0
30444,0
10619,0
25176,0
30295,0
27095,0
27913,0
23899,0
9576,0
40665,1
675,0
15048,0
39665,0
22358,0
11928,0
21612,0
33370,0
6936,0
24697,0
27512,0
16609,0
29345,1
36556,1
30318,0
8685,0
18186,0
5511,0
38420,1
27613,0
2435,0
36215,0
13000,0
5839,0
10937,0
25321,0
28968,0
29512,0
15349,0
504,1
19851,0
2349,0
13722,0
8276,1
15679,0
1529,0
32849,0
31766,0
30998,0
9316,0
34482,0
17463,0
24842,0
37721,0
34067,0
2373,0
31503,1
9129,0
22252,0
33990,0
25472,0
37172,0
24088,1
25510,0
40928,1
28430,0
28274,0
310,0
24717,0
37894,0
13753,0
35674,0
24737,1
40637,0
33871,0
25697,0
12357,0
23531,0
16246,0
3752,0
13103,0
32941,0
29230,0
28283,0
25662,0
7906,0
30074,0
21374,0
27135,0
27572,0
17378,0
4258,0
30539,0
23681,0
40496,1
24159,0
20648,0
31059,0
30544,1
22718,0
37500,0
20005,0
39874,0
29107,0
27686,0
22550,0
2834,0
20242,0
20643,0
13175,0
23761,0
2671,0
27964,0
29686,0
17797,0
30171,0
14601,0
23359,0
15477,0
32961,0
14138,0
39914,1
13653,0
14769,0
3986,0
30794,0
32811,0
16126,0
15868,0
1629,0
16007,0
32105,0
17222,0
26674,0
18683,0
30525,0
33798,1
14558,0
30437,1
33890,0
23688,0
25786,0
19695,0
26517,0
36778,0
22455,0
38039,0
15708,0
4966,0
26216,0
34500,0
893,0
10454,0
16571,0
19116,0
10997,0
32904,0
33629,0
33664,0
19622,0
11036,0
33247,0
28139,0
24666,0
35234,1
10209,0
40331,0
25222,0
23064,0
37012,1
11948,0
36925,0
35392,0
6285,0
24253,0
39985,1
1385,0
11567,1
9420,0
25910,0
6110,0
10406,0
15796,1
7703,0
3225,0
34515,0
28738,0
41070,0
5977,0
23297,0
10147,0
18659,0
8344,0
15013,0
39787,1
958,0
1612,0
9424,0
21948,0
7508,0
25639,0
21015,0
9451,0
40010,0
26496,0
33114,0
37375,0
8138,0
28611,0
17167,0
14749,0
13167,0
7163,0
15530,0
1932,0
35222,0
12358,0
25138,0
10596,0
11476,0
24325,0
9281,0
22351,0
11679,0
35031,0
16773,0
9974,0
41049,1
862,0
23385,0
11437,0
6520,1
23003,0
41074,0
40450,1
18064,0
16704,1
12567,0
37917,0
32274,0
16203,0
23244,0
36906,0
7275,0
34033,0
18609,0
12158,0
14716,0
672,0
32544,0
24699,0
8005,0
7802,0
40324,0
13064,0
20113,0
38157,0
15262,0
3001,0
25026,0
36830,0
25710,0
37930,0
18507,0
16260,0
26683,0
5608,0
3875,0
8811,0
7160,0
2030,0
30970,0
1333,0
30977,1
17674,0
34935,0
15442,0
20547,0
38189,0
37889,0
255,0
23838,0
2821,0
20688,0
28874,0
4607,0
20851,0
33255,0
14415,0
20220,0
34127,0
14865,0
40048,1
27823,1
20588,0
19428,0
21780,0
28523,0
36086,0
5169,0
33261,0
10105,0
30629,0
29351,0
34915,1
23588,0
13658,0
34486,0
37356,1
26846,0
21458,0
34238,0
3828,0
27497,0
20093,0
20593,0
31192,0
34049,0
5895,0
2509,0
4197,0
11985,0
20379,0
13579,0
19746,0
29332,0
13999,0
21519,0
34668,0
28826,0
4508,0
7200,0
38558,1
26251,0
18083,0
7911,0
8805,0
13523,0
4044,0
38806,1
19532,0
1762,0
8877,0
21391,0
32894,0
38732,0
18035,0
5528,0
33258,0
38631,0
16421,0
17526,0
2310,0
24441,0
38686,1
39786,1
24859,0
13140,0
9222,0
11108,0
25919,0
31472,0
37446,0
5019,0
37633,1
24442,0
36637,1
11441,0
38466,0
34008,0
22539,0
33931,0
35147,0
22746,0
17266,0
38058,1
17294,0
10660,0
40352,1
13504,1
8939,0
19512,1
27616,0
18357,0
32144,0
190,0
21301,0
15306,0
40942,1
11268,0
10929,0
40455,0
34954,0
19135,0
1900,0
1300,0
31353,0
3729,0
35396,0
16225,0
35057,0
12881,0
28345,0
20651,0
22078,0
34218,0
19756,0
11142,0
33635,0
371,0
36524,0
10776,0
22827,0
31239,0
11878,0
29998,1
27396,0
906,0
37792,0
8274,0
3865,0
3493,0
24038,1
19565,0
2013,0
26896,0
24263,0
39080,1
34959,0
5137,0
25065,0
25164,0
10467,0
8110,0
19675,0
1210,0
8834,0
14212,0
40669,0
39356,0
26039,0
27871,0
39761,0
8709,0
30939,0
12798,0
33384,0
1369,0
28615,0
7509,0
16701,0
8963,0
3035,0
29757,0
8014,1
12940,0
37332,1
1245,0
37309,0
15281,0
11047,0
33366,0
21964,0
35480,0
6064,0
32595,0
30256,0
17697,0
2195,0
28761,0
11109,0
50,0
9016,0
6211,0
12425,1
24939,0
12830,0
18735,0
22999,0
23319,0
12805,0
4832,0
26472,0
26389,0
37997,1
11516,0
10260,0
35782,0
9160,0
90,0
27780,0
2268,0
1620,0
38688,1
26070,0
21268,0
14690,1
28712,0
6723,0
29980,1
33692,0
26,0
16193,0
18915,0
37222,0
35952,0
41009,1
15131,0
25120,0
35071,0
19377,1
12058,0
31457,0
40952,1
28093,0
26367,0
22765,0
1464,0
33326,0
9263,0
20603,0
32707,0
21320,0
20471,0
13976,0
40,0
37042,1
32214,0
12038,0
36452,0
8977,1
34418,0
8612,0
36009,0
23198,0
31118,1
522,0
27783,0
6189,0
32903,0
13734,1
21778,0
9640,0
13240,0
19351,0
12702,0
20107,0
33278,0
8059,0
19294,0
23134,0
1568,0
5493,0
5121,0
4606,0
26068,0
27177,0
30139,1
24318,0
14627,0
2088,0
37520,0
23985,0
7976,0
35251,1
3404,0
10231,0
39529,0
141,0
30786,0
198,0
460,0
35052,0
13070,0
15027,0
8689,0
27267,0
14954,0
25528,1
24896,0
24769,0
19367,0
8621,1
20436,0
21721,0
10197,0
23105,0
24536,0
10754,0
17053,0
39852,1
19767,0
27142,0
34929,0
31784,0
27198,0
36042,0
31380,0
11432,0
4570,0
37368,1
8854,0
26928,0
24618,0
63,0
3979,1
1410,0
7123,0
13565,0
32146,0
33923,0
36615,1
31208,0
15092,0
9000,0
7152,0
34425,1
767,0
15456,1
29484,0
39532,0
39486,0
31008,0
19662,0
534,0
21069,0
12791,0
40734,1
33520,0
32415,0
39976,1
2812,0
18686,0
24496,0
36173,0
6784,0
20960,0
5545,0
25963,0
28660,0
28488,1
475,0
7523,0
40884,1
32444,0
8670,0
4667,0
4236,0
29102,0
19292,0
36093,0
2425,0
5944,0
35089,0
11020,1
751,0
25539,0
19577,0
19885,0
38516,1
26293,0
16557,0
36285,0
21017,0
28406,1
34927,0
16628,0
24800,0
10314,0
4373,0
22593,0
2297,0
32818,0
30674,0
11113,0
33571,0
20233,0
25371,0
28754,0
16886,0
3047,1
39973,0
18377,0
2544,0
14966,0
11825,0
24066,0
40260,0
26798,0
38791,1
29016,0
15698,0
8052,0
5413,0
26834,0
27373,0
37008,1
33897,0
19633,0
2400,0
29066,0
9051,0
13962,0
31746,0
20550,0
24813,0
6475,0
29341,0
25925,0
20156,0
12825,0
14676,0
13359,0
23238,0
37174,0
28791,0
7761,0
798,0
11889,0
17651,0
26167,0
18711,0
25417,0
11739,0
17795,0
40428,1
39597,0
31890,0
40621,0
23043,0
27315,0
34009,0
2656,0
22984,0
1085,0
13263,0
38831,1
2303,0
18853,0
21212,0
32794,0
25792,0
33263,0
9027,0
37807,1
40514,1
24173,0
23611,0
39026,1
30619,1
11831,0
4186,0
36683,1
12392,0
10804,0
20374,0
9574,0
23706,0
8528,1
30282,1
28769,0
33457,0
26350,0
35974,0
26601,0
22116,0
4757,0
15879,0
4170,0
11779,0
27965,0
5065,0
33276,0
33956,0
22831,0
8393,0
29657,0
12458,1
38128,0
165,0
2437,0
13576,0
27606,0
4764,0
24975,0
35024,0
2729,0
25220,0
1645,0
1533,0
35872,0
29862,0
35083,0
37717,0
13710,1
626,0
9707,0
39762,0
22701,0
35242,0
25737,0
27101,1
40773,1
5616,0
4910,0
6503,0
24846,0
15390,0
12692,0
25927,0
30908,0
6617,0
8214,0
23931,0
4018,0
14826,0
2143,0
7369,0
33237,0
19126,0
34271,0
9663,0
36805,1
15415,0
17041,0
2529,0
22230,0
33688,0
27218,0
25846,0
23478,0
2359,0
40513,1
5334,0
37684,0
20843,0
11947,1
38165,0
30898,0
36474,1
23171,0
27192,0
12813,0
23290,0
9047,0
7198,0
39664,1
26603,0
36197,0
6330,0
6268,0
30098,0
27789,1
18576,0
8166,0
5364,0
19687,0
14608,0
28574,1
28305,1
34784,0
21587,0
15076,0
20678,0
36303,0
38309,0
31034,0
14652,0
27212,0
5490,0
20472,0
25832,1
8539,0
23948,0
26212,0
24008,0
8123,0
16854,0
38008,1
15522,0
1396,1
32026,0
1586,0
8915,0
23354,0
31147,0
34061,0
32749,0
17834,0
14366,0
40857,0
